,Maneuver Number,Segment,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Delta V (m/sec),Fuel Used (kg),Thruster/Engine,Time from mission start (s)
0,1,Get_into_initial_intrack_displacement.Burn1,2021-12-08 16:00:00.000,2021-12-08 16:01:05.075,65.075,2.646366,0.023,Lumelite_Engine,0.0
1,2,Second_burn_to_return_to_original_plane.Burn2,2021-12-22 16:01:05.075,2021-12-22 16:01:46.475,41.401,1.685313,0.015,Lumelite_Engine,1209665.0750000002
