Year,Month,Day,Hour,Min,Sec,Maneuver,Delta-v (m/s)
2020,1,11,1,38,0,C,0.1596
2020,1,15,21,8,0,M,0.1714
2020,1,29,14,0,0,S,0.0501
2020,1,31,10,54,0,M,0.0446
2020,2,1,6,8,0,S,2.2014
2020,2,1,7,46,0,S,0.1842
2020,2,2,17,30,0,M,0.1053
2020,3,18,16,22,0,M,0.0034
2020,3,31,23,50,0,S,0.0504
2020,4,2,20,46,0,M,0.0446
2020,4,5,21,0,0,C,0.1325
2020,4,7,22,46,0,M,0.1213
2020,4,15,13,44,0,S,0.063
2020,4,17,7,28,0,M,0.0412
2020,5,1,11,46,0,C,0.1355
2020,5,3,19,56,0,M,0.1145
2020,5,13,3,0,0,S,0.0641
2020,5,14,15,56,0,M,0.0447
2020,6,8,4,56,0,C,0.1768
2020,6,10,16,18,0,M,0.1546
2020,6,16,19,56,0,S,0.0641
2020,6,18,16,52,0,M,0.0412
2020,7,3,8,18,0,C,0.1369
2020,7,5,11,38,0,M,0.1145
